location,address,hours,foodType,website,info
Lake Nahwatzel Resort,12900 W Shelton Matlock Rd	 Shelton	 WA 98584,9:30 - 10 am,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
Matlock Grange Hall,61 W Beeville Rd	 Matlock	 WA 98560,10:15 - 10:45 am,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
Maple Rock Road,West Maple Rock Road	 Matlock	 WA,11:00 - 11:30 am,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
Schafer State Park,1365 W Schafer Park Rd	 Elma	 WA 98541,9:30 - 10:00 am,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
West Boundary Cut Off,Boundary Cut-Off Rd W	 Montesano	 WA,10:15 :45,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
4 Corners on Ford Loop and Fish Hatchery Rd,W Ford Loop Rd & W Fish Hatchery Rd	 Elma	 WA98541,11:00 - 11:30 am,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
Mary M Knight School,2987 Matlock-Brady Rd	 Elma	 WA 98541,9:30 - 11:30 am,Grab & Go,https://www.marymknight.com/site/Default.aspx?PageID=92,
Armin Jahr Elementary,800 Dibb St	 Bremerton	 WA 98310,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
Bremerton High School,1500 13th St	 Bremerton	 WA 98337,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
Crownhill Elementary,1500 Rocky Point Rd NW	 Bremerton	 WA 98312,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
Lake Nahwatzel Resort,12900 W Shelton Matlock Rd	 Shelton	 WA 98584,9:30 - 10 am,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
Matlock Grange Hall,61 W Beeville Rd	 Matlock	 WA 98560,10:15 - 10:45 am,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
Maple Rock Road,West Maple Rock Road	 Matlock	 WA,11:00 - 11:30 am,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
Schafer State Park,1365 W Schafer Park Rd	 Elma	 WA 98541,9:30 - 10:00 am,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
West Boundary Cut Off,Boundary Cut-Off Rd W	 Montesano	 WA,10:15 :45,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
4 Corners on Ford Loop and Fish Hatchery Rd,W Ford Loop Rd & W Fish Hatchery Rd	 Elma	 WA98541,11:00 - 11:30 am,Drop-off or delivery,https://www.marymknight.com/site/Default.aspx?PageID=92,
Mary M Knight School,2987 Matlock-Brady Rd	 Elma	 WA 98541,9:30 - 11:30 am,Grab & Go,https://www.marymknight.com/site/Default.aspx?PageID=92,
Armin Jahr Elementary,800 Dibb St	 Bremerton	 WA 98310,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
Bremerton High School,1500 13th St	 Bremerton	 WA 98337,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
Crownhill Elementary,1500 Rocky Point Rd NW	 Bremerton	 WA 98312,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
Kitsap Lake Elementary,1111 Carr Blvd	 Bremerton	 WA 98312,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
Mountain View Middle School,2400 Perry Ave NE	 Bremerton	 WA 98310,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
Naval Avenue Elementary,900 Olympic Ave	 Bremerton	 WA 98312,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
View Ridge Elementary,3250 Spruce Ave	 Bremerton	 WA 98310,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
West Hills STEM Academy,520 S National Ave	 Bremerton	 WA 98312,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
West Sound Tech,101 National Ave N	 Bremerton	 WA 98312,10 am - noon,Grab & Go,https://www.bremertonschools.org/meals,
Brownsville Elementary,8795 Illahee Road NE	 Bremerton	 WA,11 am - noon,Grab & Go,https://ckschools.org/school_info/lunch___breakfast/meals_during_school_closures,
Central Kitsap High School,10140 Frontier Place NW	 Silverdale	 WA,11 am - noon,Grab & Go,https://ckschools.org/school_info/lunch___breakfast/meals_during_school_closures,
Central Kitsap Middle School,3850 NW Anderson Hill Rd	 Silverdale	 WA,11 am - noon,Grab & Go,https://ckschools.org/school_info/lunch___breakfast/meals_during_school_closures,
Esquire Hills Elementary,2650 NE John Carlson Road	 Bremerton	 WA,11 am - noon,Grab & Go,https://ckschools.org/school_info/lunch___breakfast/meals_during_school_closures,
Green Mountain Elementary,3860 Boundary Trail NW	 Bremerton	 WA,11 am - noon,Grab & Go,https://ckschools.org/school_info/lunch___breakfast/meals_during_school_closures,
Hawk Elementary at Jackson Park,2900 Austin Drive	 Bremerton	 WA,11 am - noon,Grab & Go,https://ckschools.org/school_info/lunch___breakfast/meals_during_school_closures,
Olympic High School,7077 Stampede Boulevard NW	 Bremerton	 WA,11 am - noon,Grab & Go,https://ckschools.org/school_info/lunch___breakfast/meals_during_school_closures,
Operations Service Center,9104 Dickey Road NW	 Silverdale,11 am - noon,Grab & Go,https://ckschools.org/school_info/lunch___breakfast/meals_during_school_closures,
PineCrest Elementary,5530 Pine Road NE	 Bremerton	 WA,11 am - noon,Grab & Go,https://ckschools.org/school_info/lunch___breakfast/meals_during_school_closures,
Kingston Middle School,9000 NE West Kingston Road	 Kingston	 WA 98346,11 am - 12:30 pm,Grab & Go,http://nkschools.org/cms/One.aspx?portalId=419589&pageId=23610999,
Suquamish Elementary School,18950 NE Park Avenue	 Suquamish	 WA 98392,11 am - 12:30 pm,Grab & Go,http://nkschools.org/cms/One.aspx?portalId=419589&pageId=23610999,**This location serves the PGST community only.
Port Gamble S'Klallam Youth Center,31850 Little Boston Road	 Kingston	 WA 98346,11 am - 12:30 pm,Grab & Go,http://nkschools.org/cms/One.aspx?portalId=419589&pageId=23610999,
Poulsbo Middle School,2003 NE Hostmark Street	 Poulsbo	 WA 98370,11 am - 12:30 pm,Grab & Go,http://nkschools.org/cms/One.aspx?portalId=419589&pageId=23610999,
Vinland Elementary School,22104 Rhododerndron Lane NW	 Poulsbo	 WA 98370,11 am - 12:30 pm,Grab & Go,http://nkschools.org/cms/One.aspx?portalId=419589&pageId=23610999,
Hilder Pearson Elementary,15650 Central Valley Road	 Poulsbo	 WA 98370,11 am - 12:30 pm,Grab & Go,http://nkschools.org/cms/One.aspx?portalId=419589&pageId=23610999,
Manchester,1901 California Ave E	 Port Orchard	 WA 98366,11 am - 12:30 pm,Grab & Go,https://www.skschools.org/news/what_s_new/coronavirus-19,
Marcus Whitman,1887 Madrona Dr SE	 Port Orchard	 WA 98366,11 am - 12:30 pm,Grab & Go,https://www.skschools.org/news/what_s_new/coronavirus-19,
Cedar Heights,2220 Pottery Ave	 Port Orchard	 WA 98366,11 am - 12:30 pm,Grab & Go,https://www.skschools.org/news/what_s_new/coronavirus-19,
Hidden Creek,5455 Converse Ave SE	 Port Orchard	 WA 98367,11 am - 12:30 pm,Grab & Go,https://www.skschools.org/news/what_s_new/coronavirus-19,
